Date,Name,Year,Letterboxd URI,Rating
2026-06-01,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4.5
2026-06-01,The Handmaiden,2016,https://boxd.it/948A,4.5
2026-06-01,Perfect Days,2023,https://boxd.it/ATh8,4.5
2026-06-01,"Paris, Texas",1984,https://boxd.it/29Ts,4.5
2026-06-01,The Favourite,2018,https://boxd.it/d2hI,4.5
2026-06-01,Punch-Drunk Love,2002,https://boxd.it/20E4,4.5
2026-06-01,The Hunt,2012,https://boxd.it/3wEC,4.5
2026-06-01,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4.5
2026-06-01,Another Round,2020,https://boxd.it/lkba,4.5
2026-06-01,The Master,2012,https://boxd.it/2cBG,4.5
2026-06-01,Drive My Car,2021,https://boxd.it/sv94,4.5
2026-06-01,Primal Fear,1996,https://boxd.it/28ws,4
2026-06-01,"Synecdoche, New York",2008,https://boxd.it/23zw,4.5
2026-06-01,Adaptation.,2002,https://boxd.it/26mA,4.5
2026-06-01,It Was Just an Accident,2025,https://boxd.it/TX2k,4.5
2026-06-01,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,4.5
2026-06-01,Hiroshima Mon Amour,1959,https://boxd.it/22WY,4.5
2026-06-01,The Substance,2024,https://boxd.it/zanS,4
2026-06-01,Sinners,2025,https://boxd.it/KQMM,4
2026-06-01,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2026-06-01,Project Hail Mary,2026,https://boxd.it/pEeQ,4
2026-06-01,American Psycho,2000,https://boxd.it/28Vs,4
2026-06-01,The Batman,2022,https://boxd.it/eDGs,4
2026-06-01,Donnie Darko,2001,https://boxd.it/2b2A,4
2026-06-01,Baby Driver,2017,https://boxd.it/bhF2,4
2026-06-01,Beautiful Boy,2018,https://boxd.it/g76Q,4
2026-06-01,28 Years Later,2025,https://boxd.it/FEGM,4
2026-06-01,The Lobster,2015,https://boxd.it/7tnw,4
2026-06-01,TÁR,2022,https://boxd.it/uNIA,4
2026-06-01,Magnolia,1999,https://boxd.it/2aze,4
2026-06-01,Decision to Leave,2022,https://boxd.it/qp9e,4
2026-06-01,Tampopo,1985,https://boxd.it/1SZe,4
2026-06-01,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,3.5
2026-06-01,2046,2004,https://boxd.it/29tu,4
2026-06-01,Following,1998,https://boxd.it/1Tj4,4
2026-06-01,Left-Handed Girl,2025,https://boxd.it/BLDW,4
2026-06-01,A Moment of Innocence,1996,https://boxd.it/T6W,4
2026-06-01,Maborosi,1995,https://boxd.it/1G9U,4
2026-06-01,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs,4
2026-06-01,Dev.D,2009,https://boxd.it/1L5I,4
2026-06-01,Superman,2025,https://boxd.it/E9IU,3.5
2026-06-01,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2026-06-01,We Live in Time,2024,https://boxd.it/FC5u,3.5
2026-06-01,A Complete Unknown,2024,https://boxd.it/oBYa,3.5
2026-06-01,The Brutalist,2024,https://boxd.it/k4BO,3.5
2026-06-01,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2026-06-01,Train Dreams,2025,https://boxd.it/LdDo,3.5
2026-06-01,Bicycle Thieves,1948,https://boxd.it/23hW,3.5
2026-06-01,High Fidelity,2000,https://boxd.it/2aMW,3.5
2026-06-01,The Mastermind,2025,https://boxd.it/Q7ge,3.5
2026-06-01,Ne Zha 2,2025,https://boxd.it/B2qe,3.5
2026-06-01,Ichi the Killer,2001,https://boxd.it/1Y1O,3.5
2026-06-01,Where Is the Friend's House?,1987,https://boxd.it/ELg,3.5
2026-06-01,Ne Zha,2019,https://boxd.it/mKSm,3.5
2026-06-01,Suzhou River,2000,https://boxd.it/1Tsq,3.5
2026-06-01,Homebound,2025,https://boxd.it/KDDs,3.5
2026-06-01,Lokah Chapter 1: Chandra,2025,https://boxd.it/NelO,3.5
2026-06-01,The Man Without a Past,2002,https://boxd.it/212g,3.5
2026-06-01,Pickpocket,1997,https://boxd.it/zPi,3.5
