Date,Name,Year,Letterboxd URI
2025-12-29,The Handmaiden,2016,https://boxd.it/948A
2025-12-30,Decision to Leave,2022,https://boxd.it/qp9e
2025-12-30,"Paris, Texas",1984,https://boxd.it/29Ts
2026-01-02,Another Round,2020,https://boxd.it/lkba
2026-01-04,Reprise,2006,https://boxd.it/1Sji
2026-01-04,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu
2026-01-05,The Worst Person in the World,2021,https://boxd.it/oyws
2026-01-09,Sentimental Value,2025,https://boxd.it/GwcG
2026-01-10,No Other Choice,2025,https://boxd.it/nKiA
2026-01-13,The Fall,2006,https://boxd.it/1NoM
2026-01-15,Life in a Metro,2007,https://boxd.it/1DoW
2026-01-17,It Was Just an Accident,2025,https://boxd.it/TX2k
2026-01-24,Marty Supreme,2025,https://boxd.it/Off0
2026-02-08,Hamnet,2025,https://boxd.it/woVy
2026-02-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2026-03-08,Beautiful Boy,2018,https://boxd.it/g76Q
2026-04-02,Project Hail Mary,2026,https://boxd.it/pEeQ
2026-04-05,The Drama,2026,https://boxd.it/OA2w
2026-04-11,Donnie Darko,2001,https://boxd.it/2b2A
2026-04-15,Hiroshima Mon Amour,1959,https://boxd.it/22WY
2026-04-29,Dev.D,2009,https://boxd.it/1L5I
2026-05-15,Tampopo,1985,https://boxd.it/1SZe
2026-05-17,The Devil Wears Prada,2006,https://boxd.it/2awE
2026-05-19,Primal Fear,1996,https://boxd.it/28ws
2026-05-20,A Different Man,2024,https://boxd.it/BoEC
2026-05-25,18x2 Beyond Youthful Days,2024,https://boxd.it/J4Lk
2026-05-26,Love Letter,1995,https://boxd.it/LMA
2026-05-26,The Hunt,2012,https://boxd.it/3wEC
2026-05-28,Lost and Found,1996,https://boxd.it/3Vt0
2026-05-31,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q
2026-05-31,The Power of the Dog,2021,https://boxd.it/m99E
2026-06-01,Z,1969,https://boxd.it/26pY
2026-06-04,The Battle of Algiers,1966,https://boxd.it/1IRY
2026-06-06,The Conformist,1970,https://boxd.it/20cE
2026-06-07,The Hand of God,2021,https://boxd.it/r5uI
2026-06-08,8½,1963,https://boxd.it/2aqm
